release_date,movie,production_budget,domestic_gross,worldwide_gross
12/31/2020,Hannibal the Conqueror,"$50,000,000",$0,$0
12/31/2020,Moonfall,"$150,000,000",$0,$0
12/31/2019,Army of the Dead,"$90,000,000",$0,$0
12/31/2019,Reagan,"$25,000,000",$0,$0
12/31/2019,355,"$75,000,000",$0,$0
12/31/2019,Rogue City,"$13,000,000",$0,$0
12/31/2019,Eli,"$11,000,000",$0,$0
12/31/2019,Down Under Cover,"$40,000,000",$0,$0
12/31/2018,The Crow,"$40,000,000",$0,$0
12/31/2018,Red 11,"$7,000",$0,$0
12/31/2017,Posledniy bogatyr,"$8,500,000",$0,"$30,700,192"
12/31/2017,The Islands,"$1,200,000",$0,$0
12/31/2017,The Thousand Miles,"$20,000,000",$0,$0
12/31/2017,Matilda,"$25,000,000",$0,"$9,370,285"
12/31/2017,UtÃ¸ya 22. juli,"$3,600,000",$0,"$173,156"
12/31/2017,Perfectos Desconocidos,"$4,000,000",$0,"$31,166,312"
12/31/2016,Airlift (2016),"$4,400,000",$0,"$9,969,237"
12/31/2016,Bodom,"$1,250,000",$0,"$726,460"
12/31/2016,Chemical Cut,"$1,000,000",$0,$0
12/31/2015,Lumea e a mea,"$168,000",$0,"$29,678"
12/31/2015,Vaalu,"$1,900,000",$0,"$12,444"
12/31/2015,"To Be Frank, Sinatra at 100","$2,000,000",$0,$926
12/31/2015,Escaping the Holocost,"$150,000",$0,$0
12/31/2015,Wind Walkers,"$2,000,000",$0,$0
12/31/2015,Henry Joseph Church,"$8,000,000",$0,$0
12/31/2015,Shooting the Warwicks,"$250,000",$0,$0
12/31/2015,Rodeo Girl,"$500,000",$0,$0
12/31/2015,Geroy,"$7,000,000",$0,"$1,545,121"
12/31/2015,San cheng ji,"$12,000,000",$0,"$1,950,194"
12/31/2015,Pourquoi j'ai pas mangÃ© mon pÃ¨re,"$42,000,000",$0,"$15,451,663"
12/31/2015,Walking to Paris,"$300,000",$0,$0
12/31/2015,Lunchtime Heroes,"$100,000",$0,$0
12/31/2015,Fight to the Finish,"$500,000",$0,$0
12/31/2015,Aztec Warrior,"$5,000,000",$0,$0
12/31/2015,Julija in alfa Romeo,"$560,000",$0,"$8,462"
12/31/2015,Sardaar Ji,"$2,700,000",$0,"$8,200,000"
12/31/2015,Unnatural,"$3,000,000",$0,$0
12/31/2015,AWOL-72,"$3,000,000",$0,$0
12/31/2015,The Veil,"$4,000,000",$0,$0
12/31/2015,Chiamatemi Francesco - Il papa della gente,"$15,000,000",$0,"$3,925,769"
12/31/2015,Romantic Schemer,"$125,000",$0,$0
12/31/2015,Karachi se Lahore,"$1,000,000",$0,"$17,721"
12/31/2014,Pancakes,"$400,000",$0,$0
12/31/2014,Horse Camp,"$250,000",$0,$0
12/31/2014,The Image Revolution,"$50,000",$0,$0
12/31/2014,House at the End of the Drive,"$1,400,000",$0,$0
12/31/2014,Destiny,"$750,000",$0,$450
12/31/2014,Dragon Nest Warriors' Dawn,"$40,000,000",$0,"$734,423"
12/31/2014,The Hadza: Last of the First,"$650,000",$0,$0
12/31/2014,H.,"$200,000",$0,$0
12/31/2014,Light from the Darkroom,"$600,000",$0,$0
12/31/2014,Happy 40th,"$35,000",$0,$0
12/31/2014,Lucky Dog,"$2,000,000",$0,$0
12/31/2014,Not Safe For Work,"$2,500,000",$0,$0
12/31/2014,America Is Still The Place,"$500,000",$0,$0
12/31/2014,Kurmanjan datka,"$1,400,000",$0,$0
12/31/2014,Diamond Ruff,"$500,000",$0,$0
12/31/2014,Dry Spell,"$22,000",$0,$0
12/31/2014,"Dude, Where's My Dog","$100,000",$0,$0
12/31/2014,The Sound and the Shadow,"$500,000",$0,$0
12/31/2014,A Most Violent Year,"$20,000,000","$5,749,134","$8,846,875"
12/31/2014,Bang Bang Baby,"$1,000,000",$0,$0
12/31/2014,Rise Of the Entrepreneur - The Search For A Better Way,"$450,000",$0,$0
12/31/2014,Doc Holliday's Revenge,"$1,000,000",$0,$0
12/31/2014,40 Weeks,"$900,000",$0,$0
12/31/2014,Stories of Our Lives,"$15,000",$0,$0
12/31/2013,The Vatican Exorcisms,"$1,100,000",$0,$0
12/31/2013,Bucky and the Squirrels,"$500,000",$0,$0
12/31/2013,Paraphobia,"$30,000",$0,$0
12/31/2013,Zulu,"$16,000,000",$0,"$1,844,228"
12/31/2013,The Wicked Within,"$1,200,000",$0,$0
12/31/2013,Treachery,"$625,000",$0,$0
12/31/2013,Independence Daysaster,"$1,800,000",$0,$0
12/31/2013,Space Pirate Captain Harlock,"$30,000,000",$0,"$310,985"
12/31/2013,Speak No Evil,"$150,000",$0,"$32,927"
12/31/2013,Geograf globus propil,"$4,000,000",$0,"$4,454,853"
12/31/2013,Heli,"$1,000,000",$0,"$552,614"
12/31/2013,Re-Kill,"$9,500,000",$0,$0
12/31/2013,Metegol,"$22,000,000",$0,"$34,061,097"
12/31/2012,El rey de Najayo,"$500,000",$0,$0
12/31/2012,How to Fall in Love,"$4,000,000",$0,$0
12/31/2012,Infected,"$2,100,000",$0,$0
12/31/2012,Highway,"$2,000,000",$0,$0
12/31/2012,Snitch,"$850,000",$0,$0
12/31/2012,Should've Been Romeo,"$5,000,000",$0,$0
12/31/2012,Zambezia,"$20,000,000",$0,"$34,454,336"
12/31/2012,Trance,"$950,000",$0,$0
12/31/2012,The Helpers,"$4,000,000",$0,$0
12/31/2012,AstÃ©rix et ObÃ©lix: Au service de Sa MajestÃ©,"$77,600,000",$0,"$60,680,125"
12/31/2012,Foodfight!,"$45,000,000",$0,"$73,706"
12/31/2012,After,"$650,000",$0,$0
12/31/2012,Hayride,"$60,000",$0,$0
12/31/2011,Red Dog,"$9,100,000",$0,"$20,927,794"
12/31/2011,We Have Your Husband,"$5,000,000",$0,$0
12/31/2011,Freaky Deaky,"$6,000,000",$0,$0
12/31/2011,True Bromance,"$2,000,000",$0,$0
12/31/2011,Tu Xia Chuan Qi,"$12,000,000",$0,"$1,828,400"
12/31/2011,Rock the House,"$250,000",$0,$0
12/31/2011,Tracker,"$6,500,000",$0,"$3,149"
12/31/2011,Without Men,"$4,700,000",$0,$0
12/31/2011,The Kick,"$3,500,000",$0,"$40,622"
12/31/2011,La Cara Oculta,"$2,600,000",$0,"$7,033,931"
