original_language,original_title,popularity,release_date,title,vote_average,vote_count,Music,Romance,Family,War,TV Movie,Adventure,Fantasy,Animation,Drama,Horror,Action,Comedy,History,Western,Thriller,Crime,Science Fiction,Mystery,Documentary
en,9 Songs,10.332,2004-09-09,9 Songs,4.9,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,2001: A Space Odyssey,23.781,1968-04-10,2001: A Space Odyssey,8.0,5837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
en,Beverly Hills Cop,15.067,1984-11-30,Beverly Hills Cop,7.1,1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,Anatomy of a Murder,12.71,1959-07-01,Anatomy of a Murder,7.9,359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
en,Armageddon,15.799000000000001,1998-07-01,Armageddon,6.7,4267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,Tron,12.062999999999999,1982-07-09,Tron,6.6,1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ja,千と千尋の神隠し,32.043,2002-09-20,Spirited Away,8.5,7424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ja,千と千尋の神隠し,32.043,2002-09-20,Spirited Away,8.5,7424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,All Quiet on the Western Front,9.583,1930-04-29,All Quiet on the Western Front,7.8,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,Saw,19.127,2004-10-29,Saw,7.4,4795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en,Sin City: A Dame to Kill For,20.896,2014-08-22,Sin City: A Dame to Kill For,6.3,2210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
en,Rebel Without a Cause,9.752,2018-09-23,Rebel Without a Cause,7.7,740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
